2025-11-22 13:52:58,543 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:58,544 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:58,771 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:58,772 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:59,139 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:59,140 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:59,510 - INFO - Partner found by old_code_partner: ISC002 - ID: 2153, Name: บริษัท อินเตอร์สุขภัณฑ์เซรามิค จำกัด
2025-11-22 13:52:59,510 - INFO - Partner found: ISC002 - ID: 2153, Name: บริษัท อินเตอร์สุขภัณฑ์เซรามิค จำกัด
2025-11-22 13:52:59,865 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:59,865 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:53:00,220 - INFO - Partner found by old_code_partner: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-11-22 13:53:00,220 - INFO - Partner found: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-11-22 13:53:00,441 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:00,442 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:00,696 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:00,696 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:00,940 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:53:00,941 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:53:01,178 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:01,179 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:01,402 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:01,403 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:01,626 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:01,627 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:01,861 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-11-22 13:53:01,861 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
